Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,5774,5774,706,2021,935,0
Detached,H1,hybrid_bidirectional,worst,5774,5774,706,2021,935,0
Detached,H1,safe_unidirectional,best,5571,5571,1050,1950,903,0
Detached,H1,safe_unidirectional,worst,5571,5571,1050,1950,903,0
Detached,H2,hybrid_bidirectional,best,4330,4330,484,1515,701,0
Detached,H2,hybrid_bidirectional,worst,4330,4330,484,1515,701,0
Detached,H2,safe_unidirectional,best,4066,4066,945,1423,659,0
Detached,H2,safe_unidirectional,worst,4066,4066,945,1423,659,0
Detached,H3,hybrid_bidirectional,best,3382,3382,381,1184,548,0
Detached,H3,hybrid_bidirectional,worst,3382,3382,381,1184,548,0
Detached,H3,safe_unidirectional,best,3102,3102,877,1086,503,0
Detached,H3,safe_unidirectional,worst,3102,3102,877,1086,503,0
Semi-detached,H1,hybrid_bidirectional,best,5628,5628,678,1970,912,0
Semi-detached,H1,hybrid_bidirectional,worst,5628,5628,678,1970,912,0
Semi-detached,H1,safe_unidirectional,best,5436,5436,1006,1903,881,0
Semi-detached,H1,safe_unidirectional,worst,5436,5436,1006,1903,881,0
Semi-detached,H2,hybrid_bidirectional,best,4183,4183,461,1464,678,0
Semi-detached,H2,hybrid_bidirectional,worst,4183,4183,461,1464,678,0
Semi-detached,H2,safe_unidirectional,best,3931,3931,900,1376,637,0
Semi-detached,H2,safe_unidirectional,worst,3931,3931,900,1376,637,0
Semi-detached,H3,hybrid_bidirectional,best,3237,3237,354,1133,524,0
Semi-detached,H3,hybrid_bidirectional,worst,3237,3237,354,1133,524,0
Semi-detached,H3,safe_unidirectional,best,2967,2967,833,1038,481,0
Semi-detached,H3,safe_unidirectional,worst,2967,2967,833,1038,481,0
Terraced,H1,hybrid_bidirectional,best,5443,5443,642,1905,882,0
Terraced,H1,hybrid_bidirectional,worst,5443,5443,642,1905,882,0
Terraced,H1,safe_unidirectional,best,5262,5262,950,1842,853,0
Terraced,H1,safe_unidirectional,worst,5262,5262,950,1842,853,0
Terraced,H2,hybrid_bidirectional,best,3993,3993,431,1398,647,0
Terraced,H2,hybrid_bidirectional,worst,3993,3993,431,1398,647,0
Terraced,H2,safe_unidirectional,best,3758,3758,845,1315,609,0
Terraced,H2,safe_unidirectional,worst,3758,3758,845,1315,609,0
Terraced,H3,hybrid_bidirectional,best,3049,3049,324,1067,494,0
Terraced,H3,hybrid_bidirectional,worst,3049,3049,324,1067,494,0
Terraced,H3,safe_unidirectional,best,2793,2793,777,978,453,0
Terraced,H3,safe_unidirectional,worst,2793,2793,777,978,453,0
