Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,4195,5739,417,1468,680,27
Detached,H1,hybrid_bidirectional,worst,4654,5745,497,1629,754,19
Detached,H1,safe_unidirectional,best,4624,5571,734,1618,749,17
Detached,H1,safe_unidirectional,worst,4867,5571,813,1703,788,13
Detached,H2,hybrid_bidirectional,best,2102,4271,215,736,341,51
Detached,H2,hybrid_bidirectional,worst,2723,4278,289,953,441,36
Detached,H2,safe_unidirectional,best,3116,4066,628,1091,505,23
Detached,H2,safe_unidirectional,worst,3352,4066,707,1173,543,18
Detached,H3,hybrid_bidirectional,best,1199,3325,117,420,194,64
Detached,H3,hybrid_bidirectional,worst,1767,3339,173,618,286,47
Detached,H3,safe_unidirectional,best,2143,3102,560,750,347,31
Detached,H3,safe_unidirectional,worst,2388,3102,639,836,387,23
Semi-detached,H1,hybrid_bidirectional,best,4095,5595,402,1433,663,27
Semi-detached,H1,hybrid_bidirectional,worst,4540,5601,478,1589,736,19
Semi-detached,H1,safe_unidirectional,best,4532,5436,705,1586,734,17
Semi-detached,H1,safe_unidirectional,worst,4761,5436,779,1666,771,12
Semi-detached,H2,hybrid_bidirectional,best,2015,4125,205,705,326,51
Semi-detached,H2,hybrid_bidirectional,worst,2619,4132,275,917,424,37
Semi-detached,H2,safe_unidirectional,best,3025,3931,600,1059,490,23
Semi-detached,H2,safe_unidirectional,worst,3247,3931,673,1137,526,17
Semi-detached,H3,hybrid_bidirectional,best,1130,3179,108,395,183,64
Semi-detached,H3,hybrid_bidirectional,worst,1674,3193,161,586,271,48
Semi-detached,H3,safe_unidirectional,best,2051,2967,532,718,332,31
Semi-detached,H3,safe_unidirectional,worst,2283,2967,606,799,370,23
Terraced,H1,hybrid_bidirectional,best,3969,5411,382,1389,643,27
Terraced,H1,hybrid_bidirectional,worst,4397,5416,454,1539,712,19
Terraced,H1,safe_unidirectional,best,4417,5262,670,1546,715,16
Terraced,H1,safe_unidirectional,worst,4632,5262,739,1621,750,12
Terraced,H2,hybrid_bidirectional,best,1904,3938,192,666,308,52
Terraced,H2,hybrid_bidirectional,worst,2481,3944,257,868,402,37
Terraced,H2,safe_unidirectional,best,2911,3758,565,1019,472,23
Terraced,H2,safe_unidirectional,worst,3118,3758,633,1091,505,17
Terraced,H3,hybrid_bidirectional,best,1047,2990,100,366,170,65
Terraced,H3,hybrid_bidirectional,worst,1559,3003,148,546,253,48
Terraced,H3,safe_unidirectional,best,1936,2793,497,678,314,31
Terraced,H3,safe_unidirectional,worst,2154,2793,566,754,349,23
