Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,3468,5670,332,1214,562,39
Detached,H1,hybrid_bidirectional,worst,4110,5696,432,1439,666,28
Detached,H1,safe_unidirectional,best,3701,5571,555,1295,600,34
Detached,H1,safe_unidirectional,worst,4177,5571,679,1462,677,25
Detached,H2,hybrid_bidirectional,best,1759,4204,175,616,285,58
Detached,H2,hybrid_bidirectional,worst,2460,4233,258,861,399,42
Detached,H2,safe_unidirectional,best,2246,4066,420,786,364,45
Detached,H2,safe_unidirectional,worst,2698,4066,547,944,437,34
Detached,H3,hybrid_bidirectional,best,1066,3251,102,373,173,67
Detached,H3,hybrid_bidirectional,worst,1651,3290,161,578,267,50
Detached,H3,safe_unidirectional,best,1298,3102,337,454,210,58
Detached,H3,safe_unidirectional,worst,1759,3102,473,616,285,43
Semi-detached,H1,hybrid_bidirectional,best,3372,5528,318,1180,546,39
Semi-detached,H1,hybrid_bidirectional,worst,3995,5553,412,1398,647,28
Semi-detached,H1,safe_unidirectional,best,3613,5436,530,1264,585,34
Semi-detached,H1,safe_unidirectional,worst,4071,5436,648,1425,659,25
Semi-detached,H2,hybrid_bidirectional,best,1677,4061,165,587,272,59
Semi-detached,H2,hybrid_bidirectional,worst,2356,4088,244,825,382,42
Semi-detached,H2,safe_unidirectional,best,2166,3931,397,758,351,45
Semi-detached,H2,safe_unidirectional,worst,2598,3931,517,909,421,34
Semi-detached,H3,hybrid_bidirectional,best,998,3108,94,349,162,68
Semi-detached,H3,hybrid_bidirectional,worst,1561,3144,149,546,253,50
Semi-detached,H3,safe_unidirectional,best,1219,2967,314,427,197,59
Semi-detached,H3,safe_unidirectional,worst,1662,2967,443,582,269,44
Terraced,H1,hybrid_bidirectional,best,3247,5345,301,1136,526,39
Terraced,H1,hybrid_bidirectional,worst,3848,5369,390,1347,623,28
Terraced,H1,safe_unidirectional,best,3497,5262,500,1224,567,34
Terraced,H1,safe_unidirectional,worst,3938,5262,612,1378,638,25
Terraced,H2,hybrid_bidirectional,best,1575,3874,153,551,255,59
Terraced,H2,hybrid_bidirectional,worst,2221,3900,227,778,360,43
Terraced,H2,safe_unidirectional,best,2064,3758,369,723,334,45
Terraced,H2,safe_unidirectional,worst,2477,3758,481,867,401,34
Terraced,H3,hybrid_bidirectional,best,918,2920,85,321,149,69
Terraced,H3,hybrid_bidirectional,worst,1447,2954,137,507,234,51
Terraced,H3,safe_unidirectional,best,1124,2793,287,393,182,60
Terraced,H3,safe_unidirectional,worst,1545,2793,409,541,250,45
