Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,2621,2621,844,917,2630,0
Detached,H1,hybrid_bidirectional,worst,2621,2621,844,917,2630,0
Detached,H1,safe_unidirectional,best,2621,2621,844,917,2630,0
Detached,H1,safe_unidirectional,worst,2621,2621,844,917,2630,0
Detached,H2,hybrid_bidirectional,best,2621,2621,844,917,1501,0
Detached,H2,hybrid_bidirectional,worst,2621,2621,844,917,1501,0
Detached,H2,safe_unidirectional,best,2621,2621,844,917,1501,0
Detached,H2,safe_unidirectional,worst,2621,2621,844,917,1501,0
Detached,H3,hybrid_bidirectional,best,2621,2621,844,917,748,0
Detached,H3,hybrid_bidirectional,worst,2621,2621,844,917,748,0
Detached,H3,safe_unidirectional,best,2621,2621,844,917,748,0
Detached,H3,safe_unidirectional,worst,2621,2621,844,917,748,0
Semi-detached,H1,hybrid_bidirectional,best,2486,2486,799,870,2608,0
Semi-detached,H1,hybrid_bidirectional,worst,2486,2486,799,870,2608,0
Semi-detached,H1,safe_unidirectional,best,2486,2486,799,870,2608,0
Semi-detached,H1,safe_unidirectional,worst,2486,2486,799,870,2608,0
Semi-detached,H2,hybrid_bidirectional,best,2486,2486,799,870,1479,0
Semi-detached,H2,hybrid_bidirectional,worst,2486,2486,799,870,1479,0
Semi-detached,H2,safe_unidirectional,best,2486,2486,799,870,1479,0
Semi-detached,H2,safe_unidirectional,worst,2486,2486,799,870,1479,0
Semi-detached,H3,hybrid_bidirectional,best,2486,2486,799,870,726,0
Semi-detached,H3,hybrid_bidirectional,worst,2486,2486,799,870,726,0
Semi-detached,H3,safe_unidirectional,best,2486,2486,799,870,726,0
Semi-detached,H3,safe_unidirectional,worst,2486,2486,799,870,726,0
Terraced,H1,hybrid_bidirectional,best,2312,2312,743,809,2580,0
Terraced,H1,hybrid_bidirectional,worst,2312,2312,743,809,2580,0
Terraced,H1,safe_unidirectional,best,2312,2312,743,809,2580,0
Terraced,H1,safe_unidirectional,worst,2312,2312,743,809,2580,0
Terraced,H2,hybrid_bidirectional,best,2312,2312,743,809,1451,0
Terraced,H2,hybrid_bidirectional,worst,2312,2312,743,809,1451,0
Terraced,H2,safe_unidirectional,best,2312,2312,743,809,1451,0
Terraced,H2,safe_unidirectional,worst,2312,2312,743,809,1451,0
Terraced,H3,hybrid_bidirectional,best,2312,2312,743,809,698,0
Terraced,H3,hybrid_bidirectional,worst,2312,2312,743,809,698,0
Terraced,H3,safe_unidirectional,best,2312,2312,743,809,698,0
Terraced,H3,safe_unidirectional,worst,2312,2312,743,809,698,0
