Archetype,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost,Grid Cost,Grid Emissions,Independence
Detached,H1,hybrid_bidirectional,best,1729,2621,531,605,2486,34
Detached,H1,hybrid_bidirectional,worst,1948,2621,608,682,2521,26
Detached,H1,safe_unidirectional,best,1729,2621,531,605,2486,34
Detached,H1,safe_unidirectional,worst,1948,2621,608,682,2521,26
Detached,H2,hybrid_bidirectional,best,1729,2621,531,605,1357,34
Detached,H2,hybrid_bidirectional,worst,1948,2621,608,682,1392,26
Detached,H2,safe_unidirectional,best,1729,2621,531,605,1357,34
Detached,H2,safe_unidirectional,worst,1948,2621,608,682,1392,26
Detached,H3,hybrid_bidirectional,best,1729,2621,531,605,603,34
Detached,H3,hybrid_bidirectional,worst,1948,2621,608,682,639,26
Detached,H3,safe_unidirectional,best,1729,2621,531,605,603,34
Detached,H3,safe_unidirectional,worst,1948,2621,608,682,639,26
Semi-detached,H1,hybrid_bidirectional,best,1638,2486,503,573,2471,34
Semi-detached,H1,hybrid_bidirectional,worst,1843,2486,575,645,2504,26
Semi-detached,H1,safe_unidirectional,best,1638,2486,503,573,2471,34
Semi-detached,H1,safe_unidirectional,worst,1843,2486,575,645,2504,26
Semi-detached,H2,hybrid_bidirectional,best,1638,2486,503,573,1342,34
Semi-detached,H2,hybrid_bidirectional,worst,1843,2486,575,645,1375,26
Semi-detached,H2,safe_unidirectional,best,1638,2486,503,573,1342,34
Semi-detached,H2,safe_unidirectional,worst,1843,2486,575,645,1375,26
Semi-detached,H3,hybrid_bidirectional,best,1638,2486,503,573,589,34
Semi-detached,H3,hybrid_bidirectional,worst,1843,2486,575,645,622,26
Semi-detached,H3,safe_unidirectional,best,1638,2486,503,573,589,34
Semi-detached,H3,safe_unidirectional,worst,1843,2486,575,645,622,26
Terraced,H1,hybrid_bidirectional,best,1525,2312,468,534,2453,34
Terraced,H1,hybrid_bidirectional,worst,1716,2312,535,600,2483,26
Terraced,H1,safe_unidirectional,best,1525,2312,468,534,2453,34
Terraced,H1,safe_unidirectional,worst,1716,2312,535,600,2483,26
Terraced,H2,hybrid_bidirectional,best,1525,2312,468,534,1324,34
Terraced,H2,hybrid_bidirectional,worst,1716,2312,535,600,1355,26
Terraced,H2,safe_unidirectional,best,1525,2312,468,534,1324,34
Terraced,H2,safe_unidirectional,worst,1716,2312,535,600,1355,26
Terraced,H3,hybrid_bidirectional,best,1525,2312,468,534,570,34
Terraced,H3,hybrid_bidirectional,worst,1716,2312,535,600,601,26
Terraced,H3,safe_unidirectional,best,1525,2312,468,534,570,34
Terraced,H3,safe_unidirectional,worst,1716,2312,535,600,601,26
