Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Cost
Detached,1,H1,safe_unidirectional,worst,2884.686343,662.077231
Detached,1,H1,safe_unidirectional,best,2631.436436,574.759259
Detached,1,H1,hybrid_bidirectional,worst,2765.432378,348.222567
Detached,1,H1,hybrid_bidirectional,best,2363.66201,271.247205
Detached,1,H2,safe_unidirectional,worst,2360.177292,625.361597
Detached,1,H2,safe_unidirectional,best,2103.819292,537.826059
Detached,1,H2,hybrid_bidirectional,worst,1895.575206,218.302497
Detached,1,H2,hybrid_bidirectional,best,1395.681529,151.824743
Detached,1,H3,safe_unidirectional,worst,2001.137608,600.228819
Detached,1,H3,safe_unidirectional,best,1749.736842,513.040288
Detached,1,H3,hybrid_bidirectional,worst,1289.007642,228.658191
Detached,1,H3,hybrid_bidirectional,best,840.820126,138.42981
Detached,1,H1,safe_unidirectional,worst,2920.657575,672.89779
Detached,1,H1,safe_unidirectional,best,2685.437979,592.773865
Detached,1,H1,hybrid_bidirectional,worst,2801.763663,353.982303
Detached,1,H1,hybrid_bidirectional,best,2439.697025,281.282147
Detached,1,H2,safe_unidirectional,worst,2399.411452,636.410562
Detached,1,H2,safe_unidirectional,best,2162.60132,556.175299
Detached,1,H2,hybrid_bidirectional,worst,1941.838519,206.159979
Detached,1,H2,hybrid_bidirectional,best,1490.409452,147.159838
Detached,1,H3,safe_unidirectional,worst,2040.557399,611.290778
Detached,1,H3,safe_unidirectional,best,1810.539946,531.531003
Detached,1,H3,hybrid_bidirectional,worst,1367.814135,241.025885
Detached,1,H3,hybrid_bidirectional,best,884.110221,137.611011
Detached,1,H1,safe_unidirectional,worst,2880.202667,661.456053
Detached,1,H1,safe_unidirectional,best,2672.331436,590.851249
Detached,1,H1,hybrid_bidirectional,worst,2776.966194,345.704974
Detached,1,H1,hybrid_bidirectional,best,2436.847675,282.437701
Detached,1,H2,safe_unidirectional,worst,2354.406899,624.650349
Detached,1,H2,safe_unidirectional,best,2146.151199,554.018632
Detached,1,H2,hybrid_bidirectional,worst,1884.450705,208.000119
Detached,1,H2,hybrid_bidirectional,best,1451.243175,155.157999
Detached,1,H3,safe_unidirectional,worst,1996.97601,599.630187
Detached,1,H3,safe_unidirectional,best,1794.791094,529.423425
Detached,1,H3,hybrid_bidirectional,worst,1311.83211,227.355721
Detached,1,H3,hybrid_bidirectional,best,882.769106,142.376069
Detached,1,H1,safe_unidirectional,worst,2909.781175,668.234216
Detached,1,H1,safe_unidirectional,best,2682.227984,590.80144
Detached,1,H1,hybrid_bidirectional,worst,2773.197502,352.681428
Detached,1,H1,hybrid_bidirectional,best,2410.506247,282.501609
Detached,1,H2,safe_unidirectional,worst,2385.362771,631.524927
Detached,1,H2,safe_unidirectional,best,2158.495503,554.140167
Detached,1,H2,hybrid_bidirectional,worst,1895.433,212.924317
Detached,1,H2,hybrid_bidirectional,best,1429.323646,156.5289
Detached,1,H3,safe_unidirectional,worst,2026.544128,606.407622
Detached,1,H3,safe_unidirectional,best,1803.395326,529.283154
Detached,1,H3,hybrid_bidirectional,worst,1321.016509,222.183474
Detached,1,H3,hybrid_bidirectional,best,801.175248,125.733005
Detached,1,H1,safe_unidirectional,worst,3089.884039,735.523249
Detached,1,H1,safe_unidirectional,best,2831.38408,646.669948
Detached,1,H1,hybrid_bidirectional,worst,2963.283298,396.225081
Detached,1,H1,hybrid_bidirectional,best,2562.395571,315.064053
Detached,1,H2,safe_unidirectional,worst,2566.905487,698.91475
Detached,1,H2,safe_unidirectional,best,2306.145279,609.903232
Detached,1,H2,hybrid_bidirectional,worst,2095.858966,257.441138
Detached,1,H2,hybrid_bidirectional,best,1622.168107,196.105078
Detached,1,H3,safe_unidirectional,worst,2211.248886,674.018788
Detached,1,H3,safe_unidirectional,best,1956.054934,585.396908
Detached,1,H3,hybrid_bidirectional,worst,1499.797406,266.207056
Detached,1,H3,hybrid_bidirectional,best,952.994929,156.924499
Detached,1,H1,safe_unidirectional,worst,2866.048595,654.615734
