Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H1,safe_unidirectional,worst,5528.291432,5528.291432,1036.993652
Detached,1,H1,safe_unidirectional,best,5528.291432,5528.291432,1036.993652
Detached,1,H1,hybrid_bidirectional,worst,5728.789789,5728.789789,700.781162
Detached,1,H1,hybrid_bidirectional,best,5728.789789,5728.789789,700.781162
Detached,1,H2,safe_unidirectional,worst,4023.378099,4023.378099,931.649719
Detached,1,H2,safe_unidirectional,best,4023.378099,4023.378099,931.649719
Detached,1,H2,hybrid_bidirectional,worst,4288.152712,4288.152712,481.246639
Detached,1,H2,hybrid_bidirectional,best,4288.152712,4288.152712,481.246639
Detached,1,H3,safe_unidirectional,worst,3059.158099,3059.158099,864.154319
Detached,1,H3,safe_unidirectional,best,3059.158099,3059.158099,864.154319
Detached,1,H3,hybrid_bidirectional,worst,3337.437672,3337.437672,382.149454
Detached,1,H3,hybrid_bidirectional,best,3337.437672,3337.437672,382.149454
Detached,1,H1,safe_unidirectional,worst,5539.523132,5539.523132,1038.424123
Detached,1,H1,safe_unidirectional,best,5539.523132,5539.523132,1038.424123
Detached,1,H1,hybrid_bidirectional,worst,5743.722939,5743.722939,693.77435
Detached,1,H1,hybrid_bidirectional,best,5743.722939,5743.722939,693.77435
Detached,1,H2,safe_unidirectional,worst,4034.609799,4034.609799,933.08019
Detached,1,H2,safe_unidirectional,best,4034.609799,4034.609799,933.08019
Detached,1,H2,hybrid_bidirectional,worst,4306.626516,4306.626516,465.433406
Detached,1,H2,hybrid_bidirectional,best,4306.626516,4306.626516,465.433406
Detached,1,H3,safe_unidirectional,worst,3070.389799,3070.389799,865.58479
Detached,1,H3,safe_unidirectional,best,3070.389799,3070.389799,865.58479
Detached,1,H3,hybrid_bidirectional,worst,3349.257096,3349.257096,380.751342
Detached,1,H3,hybrid_bidirectional,best,3349.257096,3349.257096,380.751342
Detached,1,H1,safe_unidirectional,worst,5511.832032,5511.832032,1032.508346
Detached,1,H1,safe_unidirectional,best,5511.832032,5511.832032,1032.508346
Detached,1,H1,hybrid_bidirectional,worst,5715.218639,5715.218639,689.740146
Detached,1,H1,hybrid_bidirectional,best,5715.218639,5715.218639,689.740146
Detached,1,H2,safe_unidirectional,worst,4006.918699,4006.918699,927.164413
Detached,1,H2,safe_unidirectional,best,4006.918699,4006.918699,927.164413
Detached,1,H2,hybrid_bidirectional,worst,4267.167102,4267.167102,477.677861
Detached,1,H2,hybrid_bidirectional,best,4267.167102,4267.167102,477.677861
Detached,1,H3,safe_unidirectional,worst,3042.698699,3042.698699,859.669013
Detached,1,H3,safe_unidirectional,best,3042.698699,3042.698699,859.669013
Detached,1,H3,hybrid_bidirectional,worst,3321.384116,3321.384116,371.828274
Detached,1,H3,hybrid_bidirectional,best,3321.384116,3321.384116,371.828274
Detached,1,H1,safe_unidirectional,worst,5592.176232,5592.176232,1056.875444
Detached,1,H1,safe_unidirectional,best,5592.176232,5592.176232,1056.875444
Detached,1,H1,hybrid_bidirectional,worst,5796.188506,5796.188506,711.48156
Detached,1,H1,hybrid_bidirectional,best,5796.188506,5796.188506,711.48156
Detached,1,H2,safe_unidirectional,worst,4087.262899,4087.262899,951.531511
Detached,1,H2,safe_unidirectional,best,4087.262899,4087.262899,951.531511
Detached,1,H2,hybrid_bidirectional,worst,4345.066979,4345.066979,481.186382
Detached,1,H2,hybrid_bidirectional,best,4345.066979,4345.066979,481.186382
Detached,1,H3,safe_unidirectional,worst,3123.042899,3123.042899,884.036111
Detached,1,H3,safe_unidirectional,best,3123.042899,3123.042899,884.036111
Detached,1,H3,hybrid_bidirectional,worst,3393.516019,3393.516019,381.122988
Detached,1,H3,hybrid_bidirectional,best,3393.516019,3393.516019,381.122988
Detached,1,H1,safe_unidirectional,worst,5721.918032,5721.918032,1105.282362
Detached,1,H1,safe_unidirectional,best,5721.918032,5721.918032,1105.282362
Detached,1,H1,hybrid_bidirectional,worst,5925.164726,5925.164726,745.054179
Detached,1,H1,hybrid_bidirectional,best,5925.164726,5925.164726,745.054179
Detached,1,H2,safe_unidirectional,worst,4217.004699,4217.004699,999.938429
Detached,1,H2,safe_unidirectional,best,4217.004699,4217.004699,999.938429
Detached,1,H2,hybrid_bidirectional,worst,4467.297126,4467.297126,518.586968
Detached,1,H2,hybrid_bidirectional,best,4467.297126,4467.297126,518.586968
Detached,1,H3,safe_unidirectional,worst,3252.784699,3252.784699,932.443029
Detached,1,H3,safe_unidirectional,best,3252.784699,3252.784699,932.443029
Detached,1,H3,hybrid_bidirectional,worst,3519.471349,3519.471349,418.654648
Detached,1,H3,hybrid_bidirectional,best,3519.471349,3519.471349,418.654648
Detached,1,H1,safe_unidirectional,worst,5504.554732,5504.554732,1027.039099
Detached,1,H1,safe_unidirectional,best,5504.554732,5504.554732,1027.039099
Detached,1,H1,hybrid_bidirectional,worst,5698.199212,5698.199212,698.878258
Detached,1,H1,hybrid_bidirectional,best,5698.199212,5698.199212,698.878258
Detached,1,H2,safe_unidirectional,worst,3999.641399,3999.641399,921.695166
Detached,1,H2,safe_unidirectional,best,3999.641399,3999.641399,921.695166
Detached,1,H2,hybrid_bidirectional,worst,4251.832199,4251.832199,478.219322
Detached,1,H2,hybrid_bidirectional,best,4251.832199,4251.832199,478.219322
Detached,1,H3,safe_unidirectional,worst,3035.421399,3035.421399,854.199766
Detached,1,H3,safe_unidirectional,best,3035.421399,3035.421399,854.199766
Detached,1,H3,hybrid_bidirectional,worst,3314.709596,3314.709596,358.156752
Detached,1,H3,hybrid_bidirectional,best,3314.709596,3314.709596,358.156752
Detached,1,H1,safe_unidirectional,worst,5499.836432,5499.836432,1028.348218
Detached,1,H1,safe_unidirectional,best,5499.836432,5499.836432,1028.348218
Detached,1,H1,hybrid_bidirectional,worst,5701.408319,5701.408319,686.164911
Detached,1,H1,hybrid_bidirectional,best,5701.408319,5701.408319,686.164911
Detached,1,H2,safe_unidirectional,worst,3994.923099,3994.923099,923.004285
Detached,1,H2,safe_unidirectional,best,3994.923099,3994.923099,923.004285
Detached,1,H2,hybrid_bidirectional,worst,4259.736242,4259.736242,463.62372
Detached,1,H2,hybrid_bidirectional,best,4259.736242,4259.736242,463.62372
Detached,1,H3,safe_unidirectional,worst,3030.703099,3030.703099,855.508885
Detached,1,H3,safe_unidirectional,best,3030.703099,3030.703099,855.508885
Detached,1,H3,hybrid_bidirectional,worst,3310.864966,3310.864966,363.512883
Detached,1,H3,hybrid_bidirectional,best,3310.864966,3310.864966,363.512883
Detached,1,H1,safe_unidirectional,worst,5630.608832,5630.608832,1075.337594
Detached,1,H1,safe_unidirectional,best,5630.608832,5630.608832,1075.337594
Detached,1,H1,hybrid_bidirectional,worst,5841.148929,5841.148929,714.378951
Detached,1,H1,hybrid_bidirectional,best,5841.148929,5841.148929,714.378951
Detached,1,H2,safe_unidirectional,worst,4125.695499,4125.695499,969.993661
Detached,1,H2,safe_unidirectional,best,4125.695499,4125.695499,969.993661
Detached,1,H2,hybrid_bidirectional,worst,4397.522786,4397.522786,496.625252
Detached,1,H2,hybrid_bidirectional,best,4397.522786,4397.522786,496.625252
Detached,1,H3,safe_unidirectional,worst,3161.475499,3161.475499,902.498261
Detached,1,H3,safe_unidirectional,best,3161.475499,3161.475499,902.498261
Detached,1,H3,hybrid_bidirectional,worst,3444.308446,3444.308446,401.466438
Detached,1,H3,hybrid_bidirectional,best,3444.308446,3444.308446,401.466438
Detached,1,H1,safe_unidirectional,worst,5558.955832,5558.955832,1037.03778
Detached,1,H1,safe_unidirectional,best,5558.955832,5558.955832,1037.03778
Detached,1,H1,hybrid_bidirectional,worst,5765.710119,5765.710119,696.269461
Detached,1,H1,hybrid_bidirectional,best,5765.710119,5765.710119,696.269461
Detached,1,H2,safe_unidirectional,worst,4054.042499,4054.042499,931.693847
Detached,1,H2,safe_unidirectional,best,4054.042499,4054.042499,931.693847
Detached,1,H2,hybrid_bidirectional,worst,4327.541856,4327.541856,478.160541
Detached,1,H2,hybrid_bidirectional,best,4327.541856,4327.541856,478.160541
Detached,1,H3,safe_unidirectional,worst,3089.822499,3089.822499,864.198447
Detached,1,H3,safe_unidirectional,best,3089.822499,3089.822499,864.198447
Detached,1,H3,hybrid_bidirectional,worst,3372.746802,3372.746802,389.010922
Detached,1,H3,hybrid_bidirectional,best,3372.746802,3372.746802,389.010922
Detached,1,H1,safe_unidirectional,worst,5503.549532,5503.549532,1029.461519
Detached,1,H1,safe_unidirectional,best,5503.549532,5503.549532,1029.461519
Detached,1,H1,hybrid_bidirectional,worst,5697.713219,5697.713219,696.489796
Detached,1,H1,hybrid_bidirectional,best,5697.713219,5697.713219,696.489796
Detached,1,H2,safe_unidirectional,worst,3998.636199,3998.636199,924.117586
Detached,1,H2,safe_unidirectional,best,3998.636199,3998.636199,924.117586
Detached,1,H2,hybrid_bidirectional,worst,4264.124752,4264.124752,450.68393
Detached,1,H2,hybrid_bidirectional,best,4264.124752,4264.124752,450.68393
Detached,1,H3,safe_unidirectional,worst,3034.416199,3034.416199,856.622186
Detached,1,H3,safe_unidirectional,best,3034.416199,3034.416199,856.622186
