Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H1,safe_unidirectional,worst,4816.858792,5528.291432,797.329302
Detached,1,H1,safe_unidirectional,best,4544.572195,5528.291432,708.678763
Detached,1,H1,hybrid_bidirectional,worst,4614.866579,5698.613895,492.068073
Detached,1,H1,hybrid_bidirectional,best,4128.861676,5691.974183,403.259351
Detached,1,H2,safe_unidirectional,worst,3304.358343,4023.378099,691.454271
Detached,1,H2,safe_unidirectional,best,3041.259768,4023.378099,603.446893
Detached,1,H2,hybrid_bidirectional,worst,2685.480994,4236.84219,283.484413
Detached,1,H2,hybrid_bidirectional,best,2011.259715,4225.558247,203.09072
Detached,1,H3,safe_unidirectional,worst,2339.401951,3059.158099,623.907323
Detached,1,H3,safe_unidirectional,best,2064.546607,3059.158099,535.076971
Detached,1,H3,hybrid_bidirectional,worst,1741.882683,3295.650165,171.76635
Detached,1,H3,hybrid_bidirectional,best,1184.970705,3276.395294,115.485975
Detached,1,H1,safe_unidirectional,worst,4854.542292,5539.523132,808.26972
Detached,1,H1,safe_unidirectional,best,4608.169515,5539.523132,727.365073
Detached,1,H1,hybrid_bidirectional,worst,4644.500266,5715.422128,491.655611
Detached,1,H1,hybrid_bidirectional,best,4192.859355,5710.83523,406.434029
Detached,1,H2,safe_unidirectional,worst,3339.092811,4034.609799,702.188257
Detached,1,H2,safe_unidirectional,best,3100.329288,4034.609799,621.816257
Detached,1,H2,hybrid_bidirectional,worst,2707.978754,4257.427582,272.519368
Detached,1,H2,hybrid_bidirectional,best,2111.884585,4247.40589,201.727575
Detached,1,H3,safe_unidirectional,worst,2374.237319,3070.389799,634.648372
Detached,1,H3,safe_unidirectional,best,2121.148166,3070.389799,553.273578
Detached,1,H3,hybrid_bidirectional,worst,1757.777479,3308.281393,175.929205
Detached,1,H3,hybrid_bidirectional,best,1188.631162,3294.22209,116.888589
Detached,1,H1,safe_unidirectional,worst,4813.999036,5511.832032,796.821799
Detached,1,H1,safe_unidirectional,best,4592.768839,5511.832032,725.281867
Detached,1,H1,hybrid_bidirectional,worst,4598.966318,5684.446969,485.330336
