Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H1,safe_unidirectional,worst,2215.45017,3579.131432,527.687787
Detached,1,H1,safe_unidirectional,best,1713.463879,3579.131432,398.165418
Detached,1,H1,hybrid_bidirectional,worst,2233.227692,3714.823106,281.473387
Detached,1,H1,hybrid_bidirectional,best,1628.876006,3679.780963,186.43453
Detached,1,H2,safe_unidirectional,worst,1737.042308,3053.484766,465.568468
Detached,1,H2,safe_unidirectional,best,1268.197695,3053.484766,330.245507
Detached,1,H2,hybrid_bidirectional,worst,1646.569859,3215.137112,186.765159
Detached,1,H2,hybrid_bidirectional,best,1070.516751,3179.858152,114.582732
Detached,1,H3,safe_unidirectional,worst,1410.158776,2688.664766,422.752454
Detached,1,H3,safe_unidirectional,best,966.317903,2688.664766,278.171614
Detached,1,H3,hybrid_bidirectional,worst,1234.304696,2814.645492,223.326193
Detached,1,H3,hybrid_bidirectional,best,793.179675,2798.301126,132.726167
Detached,1,H1,safe_unidirectional,worst,2244.642785,3590.363132,538.679526
Detached,1,H1,safe_unidirectional,best,1790.775042,3590.363132,418.045168
Detached,1,H1,hybrid_bidirectional,worst,2262.125175,3724.798524,288.239118
Detached,1,H1,hybrid_bidirectional,best,1718.719057,3696.579286,197.31193
Detached,1,H2,safe_unidirectional,worst,1764.251835,3064.716466,476.089184
Detached,1,H2,safe_unidirectional,best,1335.370307,3064.716466,347.275521
Detached,1,H2,hybrid_bidirectional,worst,1693.627468,3238.937682,176.050093
Detached,1,H2,hybrid_bidirectional,best,1159.729397,3207.037133,108.315335
Detached,1,H3,safe_unidirectional,worst,1445.282373,2699.896466,434.258232
Detached,1,H3,safe_unidirectional,best,1032.273633,2699.896466,298.324488
Detached,1,H3,hybrid_bidirectional,worst,1312.90922,2808.580064,234.848177
Detached,1,H3,hybrid_bidirectional,best,815.944388,2813.339962,127.717477
Detached,1,H1,safe_unidirectional,worst,2223.415966,3562.672032,528.825278
Detached,1,H1,safe_unidirectional,best,1779.888081,3562.672032,414.070331
Detached,1,H1,hybrid_bidirectional,worst,2233.650611,3699.079546,277.360862
Detached,1,H1,hybrid_bidirectional,best,1707.778176,3666.018281,194.432006
Detached,1,H2,safe_unidirectional,worst,1743.536365,3037.025366,469.516088
Detached,1,H2,safe_unidirectional,best,1328.839219,3037.025366,345.722588
Detached,1,H2,hybrid_bidirectional,worst,1638.631996,3205.746125,176.76185
Detached,1,H2,hybrid_bidirectional,best,1110.340855,3173.335114,112.208896
Detached,1,H3,safe_unidirectional,worst,1412.474535,2672.205366,425.058397
Detached,1,H3,safe_unidirectional,best,1017.853065,2672.205366,296.108666
Detached,1,H3,hybrid_bidirectional,worst,1254.705337,2803.5379,220.417413
Detached,1,H3,hybrid_bidirectional,best,819.52428,2792.18594,134.460926
Detached,1,H1,safe_unidirectional,worst,2219.321514,3643.016232,528.589367
