Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H1,safe_unidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H1,safe_unidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H1,hybrid_bidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H1,hybrid_bidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H2,safe_unidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H2,safe_unidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H2,hybrid_bidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H2,hybrid_bidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H3,safe_unidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H3,safe_unidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H3,hybrid_bidirectional,worst,2577.9735,2577.9735,830.471397
Detached,1,H3,hybrid_bidirectional,best,2577.9735,2577.9735,830.471397
Detached,1,H1,safe_unidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H1,safe_unidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H1,hybrid_bidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H1,hybrid_bidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H2,safe_unidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H2,safe_unidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H2,hybrid_bidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H2,hybrid_bidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H3,safe_unidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H3,safe_unidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H3,hybrid_bidirectional,worst,2589.2052,2589.2052,831.901868
Detached,1,H3,hybrid_bidirectional,best,2589.2052,2589.2052,831.901868
Detached,1,H1,safe_unidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H1,safe_unidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H1,hybrid_bidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H1,hybrid_bidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H2,safe_unidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H2,safe_unidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H2,hybrid_bidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H2,hybrid_bidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H3,safe_unidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H3,safe_unidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H3,hybrid_bidirectional,worst,2561.5141,2561.5141,825.986091
Detached,1,H3,hybrid_bidirectional,best,2561.5141,2561.5141,825.986091
Detached,1,H1,safe_unidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H1,safe_unidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H1,hybrid_bidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H1,hybrid_bidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H2,safe_unidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H2,safe_unidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H2,hybrid_bidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H2,hybrid_bidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H3,safe_unidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H3,safe_unidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H3,hybrid_bidirectional,worst,2641.8583,2641.8583,850.353189
Detached,1,H3,hybrid_bidirectional,best,2641.8583,2641.8583,850.353189
Detached,1,H1,safe_unidirectional,worst,2771.6001,2771.6001,898.760107
Detached,1,H1,safe_unidirectional,best,2771.6001,2771.6001,898.760107
