Archetype,House number,CAH Type,Operation,Solar,Grid Import,Total Load,Total Cost
Detached,1,H1,safe_unidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H1,safe_unidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H1,hybrid_bidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H1,hybrid_bidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H2,safe_unidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H2,safe_unidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H2,hybrid_bidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H2,hybrid_bidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H3,safe_unidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H3,safe_unidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H3,hybrid_bidirectional,worst,1898.541004,2577.9735,593.047057
Detached,1,H3,hybrid_bidirectional,best,1651.330472,2577.9735,506.151842
Detached,1,H1,safe_unidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H1,safe_unidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H1,hybrid_bidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H1,hybrid_bidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H2,safe_unidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H2,safe_unidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H2,hybrid_bidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H2,hybrid_bidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H3,safe_unidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H3,safe_unidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H3,hybrid_bidirectional,worst,1937.209832,2589.2052,604.056448
Detached,1,H3,hybrid_bidirectional,best,1711.098764,2589.2052,524.57012
Detached,1,H1,safe_unidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H1,safe_unidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H1,hybrid_bidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H1,hybrid_bidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H2,safe_unidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H2,safe_unidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H2,hybrid_bidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H2,hybrid_bidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H3,safe_unidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H3,safe_unidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H3,hybrid_bidirectional,worst,1892.965748,2561.5141,592.349469
Detached,1,H3,hybrid_bidirectional,best,1694.022812,2561.5141,522.369645
Detached,1,H1,safe_unidirectional,worst,1923.20746,2641.8583,599.174055
Detached,1,H1,safe_unidirectional,best,1704.775688,2641.8583,522.37978
Detached,1,H1,hybrid_bidirectional,worst,1923.20746,2641.8583,599.174055
Detached,1,H1,hybrid_bidirectional,best,1704.775688,2641.8583,522.37978
Detached,1,H2,safe_unidirectional,worst,1923.20746,2641.8583,599.174055
Detached,1,H2,safe_unidirectional,best,1704.775688,2641.8583,522.37978
