Conversion Rate (%),E,H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,13150,13150,13150,13150,13150,13150
5,12978,12914,13039,12800,12674,12631
10,12806,12679,12928,12451,12199,12112
15,12634,12443,12816,12101,11724,11593
20,12462,12207,12705,11752,11248,11073
25,12290,11972,12594,11402,10773,10554
30,12118,11736,12483,11052,10298,10035
35,11945,11501,12372,10703,9822,9516
40,11773,11265,12261,10353,9347,8997
45,11601,11030,12149,10004,8872,8478
50,11429,10794,12038,9654,8396,7959
55,11257,10558,11927,9305,7921,7440
60,11085,10323,11816,8955,7446,6921
65,10913,10087,11705,8605,6970,6402
70,10741,9852,11594,8256,6495,5883
75,10569,9616,11483,7906,6020,5363
80,10397,9381,11371,7557,5544,4844
85,10225,9145,11260,7207,5069,4325
90,10053,8909,11149,6858,4594,3806
95,9881,8674,11038,6508,4118,3287
100,9709,8438,10927,6158,3643,2768
