Conversion Rate (%),E,H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,13150,13150,13150,13150,13150,13150
5,12978,12914,13066,12846,12732,12700
10,12806,12679,12982,12542,12314,12250
15,12634,12443,12898,12238,11896,11801
20,12462,12207,12814,11933,11478,11351
25,12290,11972,12730,11629,11060,10901
30,12118,11736,12647,11325,10642,10452
35,11945,11501,12563,11021,10224,10002
40,11773,11265,12479,10717,9807,9552
45,11601,11030,12395,10413,9389,9102
50,11429,10794,12311,10109,8971,8653
55,11257,10558,12227,9805,8553,8203
60,11085,10323,12143,9501,8135,7753
65,10913,10087,12059,9197,7717,7304
70,10741,9852,11975,8893,7299,6854
75,10569,9616,11892,8588,6881,6404
80,10397,9381,11808,8284,6463,5954
85,10225,9145,11724,7980,6045,5505
90,10053,8909,11640,7676,5627,5055
95,9881,8674,11556,7372,5209,4605
100,9709,8438,11472,7068,4792,4156
