Archetype,Scenario,Operation,Solar,Emissions (kg CO2)
Terraced,H+E+P,uni,best,472
Terraced,H+E+P,uni,worst,505
Terraced,H+E+P,bi,best,308
Terraced,H+E+P,bi,worst,402
Terraced,W,uni,best,2580
Terraced,W,uni,worst,2580
Terraced,W,bi,best,2580
Terraced,W,bi,worst,2580
Terraced,E,uni,best,853
Terraced,E,uni,worst,853
Terraced,E,bi,best,882
Terraced,E,bi,worst,882
Terraced,E+P,bi,best,643
Terraced,E+P,bi,worst,712
Terraced,E+P,uni,best,715
Terraced,E+P,uni,worst,750
Terraced,H+E,uni,best,609
Terraced,H+E,uni,worst,609
Terraced,H+E,bi,best,647
Terraced,H+E,bi,worst,647
Terraced,H+P,uni,best,1324
Terraced,H+P,uni,worst,1355
Terraced,H+P,bi,best,1324
Terraced,H+P,bi,worst,1355
Terraced,P,uni,best,2453
Terraced,P,uni,worst,2483
Terraced,P,bi,best,2453
Terraced,P,bi,worst,2483
Terraced,H+E+P+S,uni,best,334
Terraced,H+E+P+S,uni,worst,401
Terraced,H+E+P+S,bi,best,255
Terraced,H+E+P+S,bi,worst,360
Detached,H+E+P,uni,best,505
Detached,H+E+P,uni,worst,543
Detached,H+E+P,bi,best,341
Detached,H+E+P,bi,worst,441
Detached,W,uni,best,2630
Detached,W,uni,worst,2630
Detached,W,bi,best,2630
Detached,W,bi,worst,2630
Detached,E,uni,best,903
Detached,E,uni,worst,903
Detached,E,bi,best,935
Detached,E,bi,worst,935
Detached,E+P,bi,best,680
Detached,E+P,bi,worst,754
Detached,E+P,uni,best,749
Detached,E+P,uni,worst,788
Detached,H+E,uni,best,659
Detached,H+E,uni,worst,659
Detached,H+E,bi,best,701
Detached,H+E,bi,worst,701
Detached,H+P,uni,best,1357
Detached,H+P,uni,worst,1392
Detached,H+P,bi,best,1357
Detached,H+P,bi,worst,1392
Detached,P,uni,best,2486
Detached,P,uni,worst,2521
Detached,P,bi,best,2486
Detached,P,bi,worst,2521
Detached,H+E+P+S,uni,best,364
Detached,H+E+P+S,uni,worst,437
Detached,H+E+P+S,bi,best,285
Detached,H+E+P+S,bi,worst,399
S-Detached,H+E+P,uni,best,490
S-Detached,H+E+P,uni,worst,526
S-Detached,H+E+P,bi,best,326
S-Detached,H+E+P,bi,worst,424
S-Detached,W,uni,best,2608
S-Detached,W,uni,worst,2608
S-Detached,W,bi,best,2608
S-Detached,W,bi,worst,2608
S-Detached,E,uni,best,881
S-Detached,E,uni,worst,881
S-Detached,E,bi,best,912
S-Detached,E,bi,worst,912
S-Detached,E+P,bi,best,663
S-Detached,E+P,bi,worst,736
S-Detached,E+P,uni,best,734
S-Detached,E+P,uni,worst,771
S-Detached,H+E,uni,best,637
S-Detached,H+E,uni,worst,637
S-Detached,H+E,bi,best,678
S-Detached,H+E,bi,worst,678
S-Detached,H+P,uni,best,1342
S-Detached,H+P,uni,worst,1375
S-Detached,H+P,bi,best,1342
S-Detached,H+P,bi,worst,1375
S-Detached,P,uni,best,2471
S-Detached,P,uni,worst,2504
S-Detached,P,bi,best,2471
S-Detached,P,bi,worst,2504
S-Detached,H+E+P+S,uni,best,351
S-Detached,H+E+P+S,uni,worst,421
S-Detached,H+E+P+S,bi,best,272
S-Detached,H+E+P+S,bi,worst,382

