Conversion Rate (%),E,H+E,H+P,P,E+P,H+E+P,H+P+E+S
0,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601
5,-213.31558935361218,-211.85551330798478,-216.0076045627376,-223.02661596958174,-211.77946768060835,-209.68060836501903,-209.34600760456274
10,-202.75285171102664,-199.8403041825095,-208.13688212927755,-222.19011406844106,-199.68821292775664,-195.4980988593156,-194.8212927756654
15,-192.1977186311787,-187.82509505703422,-200.27376425855513,-221.35361216730035,-187.59695817490493,-181.31558935361215,-180.3041825095057
20,-181.6425855513308,-175.80988593155894,-192.41064638783268,-220.50950570342204,-175.50570342205322,-167.1254752851711,-165.77946768060835
25,-171.0874524714829,-163.79467680608366,-184.54752851711027,-219.67300380228139,-163.4144486692015,-152.9429657794677,-151.254752851711
30,-160.53231939163496,-151.77946768060838,-176.68441064638782,-218.83650190114068,-151.3231939163498,-138.75285171102664,-136.73764258555133
35,-149.97718631178708,-139.76425855513307,-168.8212927756654,-217.99239543726236,-139.23954372623575,-124.57034220532319,-122.212927756654
40,-139.42205323193917,-127.75665399239544,-160.95817490494298,-217.15589353612165,-127.14828897338404,-110.38783269961978,-107.68821292775665
45,-128.86692015209124,-115.74144486692015,-153.09505703422053,-216.319391634981,-115.05703422053233,-96.1977186311787,-93.17110266159696
50,-118.31178707224335,-103.72623574144487,-145.2319391634981,-215.47528517110268,-102.96577946768062,-82.01520912547528,-78.64638783269962
55,-107.75665399239544,-91.71102661596959,-137.36882129277566,-214.63878326996198,-90.8745247148289,-67.83269961977186,-64.12927756653993
60,-97.19391634980988,-79.69581749049429,-129.50570342205324,-213.8022813688213,-78.78326996197718,-53.642585551330804,-49.60456273764259
65,-86.63878326996198,-67.68060836501901,-121.64258555133081,-212.95817490494295,-66.69201520912547,-39.46007604562738,-35.07984790874525
70,-76.08365019011407,-55.665399239543724,-113.77946768060836,-212.1216730038023,-54.60836501901141,-25.269961977186313,-20.562737642585553
75,-65.52851711026616,-43.650190114068444,-105.90874524714829,-211.2851711026616,-42.5171102661597,-11.087452471482889,-6.0380228136882135
80,-54.973384030418245,-31.6425855513308,-98.04562737642586,-210.44106463878327,-30.425855513307987,3.0950570342205324,8.486692015209126
85,-44.41825095057034,-19.627376425855513,-90.18250950570342,-209.60456273764257,-18.334600760456272,17.285171102661597,23.00380228136882
90,-33.863117870722434,-7.612167300380228,-82.31939163498099,-208.7680608365019,-6.243346007604562,31.46768060836502,37.52851711026616
95,-23.307984790874524,4.403041825095057,-74.45627376425855,-207.9239543726236,5.847908745247148,45.65019011406844,52.0532319391635
100,-12.752851711026617,16.418250950570343,-66.59315589353612,-207.0874524714829,17.93916349809886,59.840304182509506,66.5703422053232
