Conversion Rate (%),E,H+E,H+P,P,E+P,H+E+P,H+P+E+S
0,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601
5,-213.31558935361218,-211.85551330798478,-216.20532319391637,-223.23193916349808,-212.22053231939162,-210.28897338403044,-210.02281368821292
10,-202.75285171102664,-199.8403041825095,-208.54752851711024,-222.5931558935361,-200.57794676806085,-196.70722433460074,-196.18250950570342
15,-192.1977186311787,-187.82509505703422,-200.8897338403042,-221.95437262357416,-188.93536121673006,-183.11787072243345,-182.33460076045625
20,-181.6425855513308,-175.80988593155894,-193.22433460076044,-221.31558935361215,-177.29277566539926,-169.5361216730038,-168.49429657794676
25,-171.0874524714829,-163.79467680608366,-185.56653992395437,-220.67680608365018,-165.65019011406847,-155.95437262357416,-154.65399239543726
30,-160.53231939163496,-151.77946768060838,-177.9087452471483,-220.03802281368823,-154.0,-142.37262357414448,-140.80608365019012
35,-149.97718631178708,-139.76425855513307,-170.24334600760454,-219.39923954372622,-142.3574144486692,-128.79087452471484,-126.96577946768062
40,-139.42205323193917,-127.75665399239544,-162.5855513307985,-218.76806083650192,-130.7148288973384,-115.20912547528516,-113.11787072243347
45,-128.86692015209124,-115.74144486692015,-154.9277566539924,-218.1292775665399,-119.07224334600761,-101.62737642585552,-99.27756653992395
50,-118.31178707224335,-103.72623574144487,-147.2699619771863,-217.49049429657794,-107.42965779467681,-88.04562737642586,-85.4296577946768
55,-107.75665399239544,-91.71102661596959,-139.6045627376426,-216.851711026616,-95.77946768060836,-74.46387832699621,-71.5893536121673
60,-97.19391634980988,-79.69581749049429,-131.9467680608365,-216.21292775665398,-84.13688212927757,-60.88212927756654,-57.749049429657795
65,-86.63878326996198,-67.68060836501901,-124.28897338403043,-215.574144486692,-72.49429657794677,-47.30038022813689,-43.90114068441064
70,-76.08365019011407,-55.665399239543724,-116.6235741444867,-214.93536121673006,-60.85171102661597,-33.71863117870723,-30.06083650190114
75,-65.52851711026616,-43.650190114068444,-108.9657794676806,-214.29657794676805,-49.20152091254753,-20.136882129277566,-16.21292775665399
80,-54.973384030418245,-31.6425855513308,-101.30798479087453,-213.66539923954372,-37.558935361216726,-6.555133079847909,-2.3726235741444865
85,-44.41825095057034,-19.627376425855513,-93.6425855513308,-213.02661596958177,-25.91634980988593,7.02661596958175,11.475285171102662
90,-33.863117870722434,-7.612167300380228,-85.98479087452472,-212.38783269961976,-14.273764258555133,20.60836501901141,25.315589353612168
95,-23.307984790874524,4.403041825095057,-78.32699619771863,-211.7490494296578,-2.6311787072243344,34.19011406844106,39.155893536121674
100,-12.752851711026617,16.418250950570343,-70.66159695817491,-211.11026615969584,9.019011406844106,47.77946768060837,53.00380228136882
