Conversion Rate (%),E,H+E,H+P,P,E+P,H+E+P,H+P+E+S
0,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601
5,-213.1254752851711,-211.60456273764257,-216.0076045627376,-223.02661596958174,-212.22053231939162,-210.69961977186313,-209.84030418250953
10,-202.38022813688215,-199.33840304182507,-208.13688212927755,-222.19011406844106,-200.5703422053232,-197.5361216730038,-195.80988593155894
15,-191.63498098859316,-187.07984790874525,-200.27376425855513,-221.35361216730035,-188.92015209125475,-184.37262357414448,-181.77946768060838
20,-180.8897338403042,-174.81368821292776,-192.41064638783268,-220.50950570342204,-177.2699619771863,-171.20912547528516,-167.74904942965782
25,-170.13688212927755,-162.54752851711027,-184.54752851711027,-219.67300380228139,-165.61977186311788,-158.04562737642584,-153.71863117870723
30,-159.39163498098858,-150.2889733840304,-176.68441064638782,-218.83650190114068,-153.9695817490494,-144.88212927756655,-139.68821292775667
35,-148.64638783269962,-138.02281368821292,-168.8212927756654,-217.99239543726236,-142.32699619771861,-131.7110266159696,-125.65779467680609
40,-137.90114068441065,-125.75665399239544,-160.95817490494298,-217.15589353612165,-130.6768060836502,-118.54752851711025,-111.62737642585552
45,-127.15589353612167,-113.49809885931559,-153.09505703422053,-216.319391634981,-119.02661596958175,-105.38403041825094,-97.59695817490494
50,-116.4106463878327,-101.23193916349811,-145.2319391634981,-215.47528517110268,-107.3764258555133,-92.22053231939164,-83.56653992395438
55,-105.66539923954372,-88.9657794676806,-137.36882129277566,-214.63878326996198,-95.72623574144487,-79.05703422053232,-69.5361216730038
60,-94.92015209125475,-76.70722433460077,-129.50570342205324,-213.8022813688213,-84.07604562737643,-65.88593155893537,-55.50570342205323
65,-84.17490494296578,-64.44106463878327,-121.64258555133081,-212.95817490494295,-72.42585551330798,-52.72243346007605,-41.47528517110266
70,-73.4296577946768,-52.17490494296578,-113.77946768060836,-212.1216730038023,-60.78326996197718,-39.558935361216726,-27.444866920152087
75,-62.68441064638783,-39.91634980988593,-105.90874524714829,-211.2851711026616,-49.133079847908746,-26.39543726235741,-13.414448669201521
80,-51.939163498098864,-27.65019011406844,-98.04562737642586,-210.44106463878327,-37.4828897338403,-13.2319391634981,0.623574144486692
85,-41.19391634980988,-15.384030418250951,-90.18250950570342,-209.60456273764257,-25.832699619771866,-0.060836501901140684,14.653992395437262
90,-30.44866920152091,-3.1254752851711025,-82.31939163498099,-208.7680608365019,-14.182509505703422,13.102661596958177,28.684410646387832
95,-19.70342205323194,9.140684410646388,-74.45627376425855,-207.9239543726236,-2.532319391634981,26.266159695817493,42.7148288973384
100,-8.958174904942966,21.40684410646388,-66.59315589353612,-207.0874524714829,9.11787072243346,39.42965779467681,56.74524714828897
