Conversion Rate (%),E,H+E,H+P,P,E+P,H+E+P,H+P+E+S
0,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601,-223.8707224334601
5,-213.1254752851711,-211.60456273764257,-216.20532319391637,-223.23193916349808,-212.44866920152091,-210.92015209125475,-210.27376425855513
10,-202.38022813688215,-199.33840304182507,-208.54752851711024,-222.5931558935361,-201.02661596958177,-197.97718631178708,-196.66920152091254
15,-191.63498098859316,-187.07984790874525,-200.8897338403042,-221.95437262357416,-189.6045627376426,-185.03422053231938,-183.0722433460076
20,-180.8897338403042,-174.81368821292776,-193.22433460076044,-221.31558935361215,-178.18250950570342,-172.0912547528517,-169.47528517110266
25,-170.13688212927755,-162.54752851711027,-185.56653992395437,-220.67680608365018,-166.76806083650192,-159.1406844106464,-155.87832699619773
30,-159.39163498098858,-150.2889733840304,-177.9087452471483,-220.03802281368823,-155.34600760456274,-146.1977186311787,-142.28136882129277
35,-148.64638783269962,-138.02281368821292,-170.24334600760454,-219.39923954372622,-143.92395437262357,-133.25475285171103,-128.68441064638782
40,-137.90114068441065,-125.75665399239544,-162.5855513307985,-218.76806083650192,-132.5019011406844,-120.3041825095057,-115.08745247148289
45,-127.15589353612167,-113.49809885931559,-154.9277566539924,-218.1292775665399,-121.07984790874524,-107.36121673003802,-101.49049429657795
50,-116.4106463878327,-101.23193916349811,-147.2699619771863,-217.49049429657794,-109.65779467680608,-94.41825095057034,-87.893536121673
55,-105.66539923954372,-88.9657794676806,-139.6045627376426,-216.851711026616,-98.24334600760456,-81.47528517110267,-74.29657794676807
60,-94.92015209125475,-76.70722433460077,-131.9467680608365,-216.21292775665398,-86.8212927756654,-68.52471482889733,-60.69961977186312
65,-84.17490494296578,-64.44106463878327,-124.28897338403043,-215.574144486692,-75.39923954372624,-55.58174904942966,-47.10266159695817
70,-73.4296577946768,-52.17490494296578,-116.6235741444867,-214.93536121673006,-63.97718631178707,-42.638783269961976,-33.50570342205324
75,-62.68441064638783,-39.91634980988593,-108.9657794676806,-214.29657794676805,-52.555133079847906,-29.688212927756652,-19.901140684410645
80,-51.939163498098864,-27.65019011406844,-101.30798479087453,-213.66539923954372,-41.14068441064639,-16.745247148288975,-6.3041825095057025
85,-41.19391634980988,-15.384030418250951,-93.6425855513308,-213.02661596958177,-29.718631178707223,-3.802281368821293,7.2927756653992395
90,-30.44866920152091,-3.1254752851711025,-85.98479087452472,-212.38783269961976,-18.29657794676806,9.140684410646388,20.889733840304185
95,-19.70342205323194,9.140684410646388,-78.32699619771863,-211.7490494296578,-6.8745247148288975,22.09125475285171,34.48669201520912
100,-8.958174904942966,21.40684410646388,-70.66159695817491,-211.11026615969584,4.547528517110266,35.034220532319395,48.08365019011407
