Conversion Rate (%),E,H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,13150,13150,13150,13150,13150,13150
5,12950,12881,13039,12836,12766,12657
10,12751,12611,12928,12522,12383,12163
15,12551,12342,12816,12208,11999,11670
20,12351,12073,12705,11894,11615,11177
25,12152,11804,12594,11579,11232,10684
30,11952,11535,12483,11265,10848,10190
35,11752,11265,12372,10951,10465,9697
40,11553,10996,12261,10637,10081,9204
45,11353,10727,12149,10323,9697,8711
50,11153,10458,12038,10009,9314,8218
55,10954,10189,11927,9695,8930,7724
60,10754,9920,11816,9381,8546,7231
65,10554,9650,11705,9067,8163,6738
70,10355,9381,11594,8753,7779,6245
75,10155,9112,11483,8439,7396,5751
80,9956,8843,11371,8125,7012,5258
85,9756,8574,11260,7811,6628,4765
90,9556,8304,11149,7497,6245,4272
95,9357,8035,11038,7183,5861,3778
100,9157,7766,10927,6869,5478,3285
