Conversion Rate (%),E,H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,13150,13150,13150,13150,13150,13150
5,12950,12881,13066,12864,12794,12712
10,12751,12611,12982,12578,12439,12274
15,12551,12342,12898,12292,12083,11837
20,12351,12073,12814,12006,11728,11399
25,12152,11804,12730,11720,11372,10961
30,11952,11535,12647,11434,11017,10523
35,11752,11265,12563,11148,10661,10086
40,11553,10996,12479,10862,10306,9648
45,11353,10727,12395,10576,9950,9210
50,11153,10458,12311,10290,9595,8773
55,10954,10189,12227,10004,9239,8335
60,10754,9920,12143,9718,8884,7897
65,10554,9650,12059,9432,8528,7459
70,10355,9381,11975,9146,8172,7022
75,10155,9112,11892,8860,7817,6584
80,9956,8843,11808,8574,7461,6146
85,9756,8574,11724,8288,7106,5708
90,9556,8304,11640,8002,6750,5271
95,9357,8035,11556,7716,6395,4833
100,9157,7766,11472,7430,6039,4395
