Archetype,CAH Type,Operation,Solar,CAPEX,OPEX Savings
Detached,H2,hybrid_bidirectional,best,8400.0,1443.1688
Detached,H1,hybrid_bidirectional,best,17979.0,2166.7368
Detached,H2,hybrid_bidirectional,worst,16776.0,1424.5398
Detached,H1,hybrid_bidirectional,worst,28689.0,2120.2358000000004
Detached,H1,safe_unidirectional,best,19188.0,2030.1608000000003
Detached,H2,safe_unidirectional,best,12525.0,1278.1008
Detached,H1,safe_unidirectional,worst,29268.0,1965.5058000000004
Detached,H2,safe_unidirectional,worst,20961.0,1235.6858
Detached,H2,hybrid_bidirectional,best,8430.0,1443.1028
Detached,H1,hybrid_bidirectional,best,18027.0,2179.5668000000005
Detached,H2,hybrid_bidirectional,worst,17040.0,1435.7648
Detached,H1,hybrid_bidirectional,worst,28767.0,2119.3668000000002
Detached,H1,safe_unidirectional,worst,29376.0,1963.5858000000003
Detached,H2,safe_unidirectional,worst,20892.0,1235.1818
Detached,H1,safe_unidirectional,best,18462.0,2018.4328000000003
Detached,H2,safe_unidirectional,best,12555.0,1270.7867999999999
Detached,H2,hybrid_bidirectional,best,8253.0,1448.5158
Detached,H1,hybrid_bidirectional,best,18204.0,2175.5608
Detached,H1,safe_unidirectional,worst,29298.0,1950.1528000000003
Detached,H2,safe_unidirectional,worst,20931.0,1248.7648
Detached,H1,safe_unidirectional,best,18894.0,2015.2328000000002
Detached,H1,hybrid_bidirectional,worst,28218.0,2111.0538
Detached,H2,hybrid_bidirectional,worst,16383.0,1430.2248
Detached,H2,safe_unidirectional,best,12123.0,1277.9748
Detached,H1,safe_unidirectional,best,19512.0,2009.0448000000004
Detached,H1,safe_unidirectional,worst,30798.0,1931.7218000000003
Detached,H2,hybrid_bidirectional,best,8283.0,1446.6358
Detached,H1,hybrid_bidirectional,worst,28365.0,2105.0808
Detached,H1,hybrid_bidirectional,best,17694.0,2178.9378
Detached,H2,hybrid_bidirectional,worst,16482.0,1427.4668
Detached,H2,safe_unidirectional,worst,20892.0,1243.7667999999999
Detached,H2,safe_unidirectional,best,12447.0,1288.1498
Detached,H1,hybrid_bidirectional,best,17910.0,2163.6728000000003
Detached,H1,hybrid_bidirectional,worst,28473.0,2105.2968
Detached,H2,hybrid_bidirectional,best,8106.0,1444.9798
Detached,H2,hybrid_bidirectional,worst,16638.0,1433.5658
Detached,H1,safe_unidirectional,best,19698.0,1982.3648000000003
Detached,H1,safe_unidirectional,worst,28425.0,1986.7588000000003
Detached,H2,safe_unidirectional,best,12633.0,1286.3578
Detached,H2,safe_unidirectional,worst,20862.0,1234.3788
Detached,H1,hybrid_bidirectional,best,18321.0,2173.3418
Detached,H2,hybrid_bidirectional,best,8214.0,1450.4648
Detached,H1,hybrid_bidirectional,worst,29904.0,2100.9298000000003
Detached,H2,hybrid_bidirectional,worst,16599.0,1429.8998
Detached,H1,safe_unidirectional,worst,28572.0,1988.6198000000004
Detached,H2,safe_unidirectional,worst,20598.0,1225.8737999999998
