Archetype,House number,CAH Type,Operation,Solar,Grid Cost,Optimal PV,Optimal Battery,Total Cost,Total Load,Grid Import
Detached,DetachedA_27.txt,H2,hybrid_bidirectional,best,198.901,3.64,1.575,8400.0,4207.83,2050.09
Detached,DetachedA_9.txt,H1,hybrid_bidirectional,best,235.253,4.55,17.55,17979.0,5560.39,2229.79
Detached,DetachedD_13.txt,H2,hybrid_bidirectional,worst,217.53,5.88,9.225,16776.0,4175.93,2014.98
Detached,DetachedD_33.txt,H1,hybrid_bidirectional,worst,281.754,7.49,27.0,28689.0,5498.22,2505.26
Detached,DetachedA_35.txt,H1,safe_unidirectional,best,371.829,4.2,21.6,19188.0,5499.36,2320.28
Detached,DetachedA_28.txt,H2,safe_unidirectional,best,363.969,3.29,11.7,12525.0,3942.1,1822.37
Detached,DetachedA_54.txt,H1,safe_unidirectional,worst,436.484,7.56,27.9,29268.0,5528.29,2494.79
Detached,DetachedA_18.txt,H2,safe_unidirectional,worst,406.384,5.25,20.7,20961.0,4011.09,1898.97
Detached,DetachedD_13.txt,H2,hybrid_bidirectional,best,198.967,3.5,2.25,8430.0,4208.3,1994.5
Detached,DetachedD_33.txt,H1,hybrid_bidirectional,best,222.423,4.83,16.425,18027.0,5479.12,2186.94
Detached,DetachedA_28.txt,H2,hybrid_bidirectional,worst,206.305,6.16,8.55,17040.0,4063.88,1974.11
Detached,DetachedA_35.txt,H1,hybrid_bidirectional,worst,282.623,7.63,26.55,28767.0,5568.94,2515.06
Detached,DetachedA_33.txt,H1,safe_unidirectional,worst,438.404,7.56,28.125,29376.0,5532.71,2486.35
Detached,DetachedA_9.txt,H2,safe_unidirectional,worst,406.888,5.32,20.25,20892.0,3998.64,1917.27
Detached,DetachedA_54.txt,H1,safe_unidirectional,best,383.557,4.06,20.7,18462.0,5528.29,2314.08
Detached,DetachedA_18.txt,H2,safe_unidirectional,best,371.283,3.15,12.375,12555.0,4011.09,1823.62
Detached,DetachedA_28.txt,H2,hybrid_bidirectional,best,193.554,3.57,1.575,8253.0,4103.49,1990.62
Detached,DetachedA_35.txt,H1,hybrid_bidirectional,best,226.429,4.76,17.1,18204.0,5547.46,2198.5
Detached,DetachedA_37.txt,H1,safe_unidirectional,worst,451.837,7.42,28.575,29298.0,5631.83,2535.49
Detached,DetachedD_33.txt,H2,safe_unidirectional,worst,393.305,5.39,20.025,20931.0,3916.8,1865.91
Detached,DetachedA_33.txt,H1,safe_unidirectional,best,386.757,4.06,21.6,18894.0,5532.71,2376.11
Detached,DetachedA_54.txt,H1,hybrid_bidirectional,worst,290.936,7.42,26.325,28218.0,5607.06,2560.42
Detached,DetachedA_18.txt,H2,hybrid_bidirectional,worst,211.845,5.95,8.1,16383.0,4123.53,1963.76
Detached,DetachedA_9.txt,H2,safe_unidirectional,best,364.095,3.15,11.475,12123.0,3998.64,1829.07
Detached,DetachedA_37.txt,H1,safe_unidirectional,best,392.945,4.2,22.275,19512.0,5631.83,2366.83
Detached,DetachedD_7.txt,H1,safe_unidirectional,worst,470.268,7.98,29.25,30798.0,5734.33,2591.05
Detached,DetachedA_18.txt,H2,hybrid_bidirectional,best,195.434,3.43,2.25,8283.0,4154.62,1969.42
Detached,DetachedA_33.txt,H1,hybrid_bidirectional,worst,296.909,7.49,26.325,28365.0,5607.78,2540.73
Detached,DetachedA_54.txt,H1,hybrid_bidirectional,best,223.052,4.62,16.65,17694.0,5593.65,2188.21
Detached,DetachedA_9.txt,H2,hybrid_bidirectional,worst,214.603,5.74,9.225,16482.0,4122.27,2000.13
Detached,DetachedA_35.txt,H2,safe_unidirectional,worst,398.303,5.32,20.25,20892.0,3994.44,1907.8
Detached,DetachedD_33.txt,H2,safe_unidirectional,best,353.92,3.15,12.15,12447.0,3916.8,1781.97
Detached,DetachedA_33.txt,H1,hybrid_bidirectional,best,238.317,4.62,17.1,17910.0,5589.47,2251.74
Detached,DetachedA_37.txt,H1,hybrid_bidirectional,worst,296.693,7.49,26.55,28473.0,5715.37,2591.99
Detached,DetachedA_9.txt,H2,hybrid_bidirectional,best,197.09,3.5,1.575,8106.0,4168.05,2005.13
Detached,DetachedD_33.txt,H2,hybrid_bidirectional,worst,208.504,6.02,8.325,16638.0,4036.26,1928.62
Detached,DetachedD_7.txt,H1,safe_unidirectional,best,419.625,4.34,22.05,19698.0,5734.33,2431.79
Detached,DetachedA_30.txt,H1,safe_unidirectional,worst,415.231,7.21,27.675,28425.0,5504.72,2455.97
Detached,DetachedA_35.txt,H2,safe_unidirectional,best,355.712,3.29,11.925,12633.0,3994.44,1805.39
Detached,DetachedA_54.txt,H2,safe_unidirectional,worst,407.691,5.46,19.575,20862.0,4023.38,1919.22
Detached,DetachedA_37.txt,H1,hybrid_bidirectional,best,228.648,4.97,16.425,18321.0,5695.78,2226.67
Detached,DetachedD_33.txt,H2,hybrid_bidirectional,best,191.605,3.5,1.8,8214.0,4076.58,1950.85
Detached,DetachedD_7.txt,H1,hybrid_bidirectional,worst,301.06,8.12,26.775,29904.0,5823.34,2641.48
Detached,DetachedA_35.txt,H2,hybrid_bidirectional,worst,212.17,5.95,8.55,16599.0,4113.27,1964.46
Detached,DetachedA_46.txt,H1,safe_unidirectional,worst,413.37,7.28,27.675,28572.0,5422.75,2442.07
Detached,DetachedA_33.txt,H2,safe_unidirectional,worst,416.196,5.18,20.25,20598.0,4027.79,1938.0
Detached,DetachedA_30.txt,H1,safe_unidirectional,best,359.371,4.13,20.25,18393.0,5504.72,2291.36
Detached,DetachedA_54.txt,H2,safe_unidirectional,best,368.634,3.01,11.475,11829.0,4023.38,1855.24
Detached,DetachedD_7.txt,H1,hybrid_bidirectional,best,238.12,5.18,16.425,18762.0,5799.49,2308.29
